ensembl_gene_id	entrezgene_id	hgnc_symbol
1	ENSG00000000457	57147	SCYL3
2	ENSG00000000460	55732	C1orf112
3	ENSG00000000938	2268	FGR
4	ENSG00000000971	3075	CFH
5	ENSG00000001460	90529	STPG1
6	ENSG00000001461	57185	NIPAL3
7	ENSG00000002549	51056	LAP3
8	ENSG00000002587	9957	HS3ST1
9	ENSG00000003393	57679	ALS2
10	ENSG00000003400	843	CASP10
11	ENSG00000003402	8837	CFLAR
12	ENSG00000003436	7035	TFPI
13	ENSG00000003509	55471	NDUFAF7
14	ENSG00000003756	10181	RBM5
15	ENSG00000004399	23129	PLXND1
16	ENSG00000004455	204	AK2
17	ENSG00000004468	952	CD38
18	ENSG00000004487	23028	KDM1A
19	ENSG00000004534	10180	RBM6
20	ENSG00000004838	51364	ZMYND10
21	ENSG00000005436	6936	GCFC2
22	ENSG00000005448	84058	WDR54
23	ENSG00000006555	55001	TTC22
24	ENSG00000006607	9855	FARP2
25	ENSG00000007341	54879	ST7L
26	ENSG00000007402	9254	CACNA2D2
27	ENSG00000007923	55735	DNAJC11
28	ENSG00000007968	1870	E2F2
29	ENSG00000008128	728642	CDK11A
30	ENSG00000008130	65220	NADK
31	ENSG00000008226	9940	DLEC1
32	ENSG00000008300	1951	CELSR3
33	ENSG00000008324	51188	SS18L2
34	ENSG00000008869	54497	HEATR5B
35	ENSG00000008952	7095	SEC62
36	ENSG00000009307	7812	CSDE1
37	ENSG00000009724	10747	MASP2
38	ENSG00000009780	199870	FAM76A
39	ENSG00000009790	80342	TRAF3IP3
40	ENSG00000010072	83932	SPRTN
41	ENSG00000010165	51603	EEF1AKNMT
42	ENSG00000010256	7384	UQCRC1
43	ENSG00000010318	51533	PHF7
44	ENSG00000010322	11188	NISCH
45	ENSG00000010327	23166	STAB1
46	ENSG00000010803	22955	SCMH1
47	ENSG00000011007	6924	ELOA
48	ENSG00000011009	11313	LYPLA2
49	ENSG00000011021	1185	CLCN6
50	ENSG00000011198	51099	ABHD5
51	ENSG00000011376	23395	LARS2
52	ENSG00000011523	23177	CEP68
53	ENSG00000011566	8491	MAP4K3
54	ENSG00000012171	7869	SEMA3B
55	ENSG00000012223	4057	LTF
56	ENSG00000013016	30845	EHD3
57	ENSG00000013288	23324	MAN2B2
58	ENSG00000013441	1195	CLK1
59	ENSG00000013810	10460	TACC3
60	ENSG00000014257	55	ACP3
61	ENSG00000014641	4190	MDH1
62	ENSG00000014824	10463	SLC30A9
63	ENSG00000014914	10903	MTMR11
64	ENSG00000016391	55349	CHDH
65	ENSG00000016864	55830	GLT8D1
66	ENSG00000017260	27032	ATP2C1
67	ENSG00000018189	22902	RUFY3
68	ENSG00000018280	6556	SLC11A1
69	ENSG00000018408	25937	WWTR1
70	ENSG00000018510	8540	AGPS
71	ENSG00000018625	477	ATP1A2
72	ENSG00000018699	55622	TTC27
73	ENSG00000019169	8685	MARCO
74	ENSG00000020129	23154	NCDN
75	ENSG00000020633	864	RUNX3
76	ENSG00000021574	6683	SPAST
77	ENSG00000021826	1373	CPS1
78	ENSG00000023228	4719	NDUFS1
79	ENSG00000023330	211	ALAS1
80	ENSG00000023572	51022	GLRX2
81	ENSG00000023902	51177	PLEKHO1
82	ENSG00000023909	2730	GCLM
83	ENSG00000024526	55635	DEPDC1
84	ENSG00000025800	23633	KPNA6
85	ENSG00000026751	57823	SLAMF7
86	ENSG00000027869	9047	SH2D2A
87	ENSG00000028116	7444	VRK2
88	ENSG00000028137	7133	TNFRSF1B
89	ENSG00000030419	22807	IKZF2
90	ENSG00000031081	57514	ARHGAP31
91	ENSG00000031698	6301	SARS1
92	ENSG00000032389	7260	EIPR1
93	ENSG00000033178	55236	UBA6
94	ENSG00000033867	9497	SLC4A7
95	ENSG00000034510	9168	TMSB10
96	ENSG00000034533	28990	ASTE1
97	ENSG00000035115	26751	SH3YL1
98	ENSG00000035141	84908	FAM136A
99	ENSG00000035687	159	ADSS2
100	ENSG00000035720	26228	STAP1
101	ENSG00000035928	5981	RFC1
102	ENSG00000036054	55773	TBC1D23
103	ENSG00000036257	8452	CUL3
104	ENSG00000036549	26009	ZZZ3
105	ENSG00000036828	846	CASR
106	ENSG00000037637	54455	FBXO42
107	ENSG00000038210	55300	PI4K2B
108	ENSG00000038219	259282	BOD1L1
109	ENSG00000040487	54896	SLC66A1
110	ENSG00000040933	3631	INPP4A
