geneNames	start	end	chr	entrezgene
ENSG00000227232	WASH7P	14363	29806	1	653635
ENSG00000238009	RP11-34P13.7	89295	133566	1	NA
ENSG00000233750	CICP27	131025	134836	1	NA
ENSG00000237683	AL627309.1	134901	139379	1	NA
ENSG00000268903	RP11-34P13.15	135141	135895	1	NA
ENSG00000269981	RP11-34P13.16	137682	137965	1	NA
ENSG00000239906	RP11-34P13.14	139790	140339	1	NA
ENSG00000241860	RP11-34P13.13	141474	173862	1	100996442
ENSG00000228463	AP006222.2	227615	267253	1	NA
ENSG00000241670	AP006222.1	228292	228775	1	NA
ENSG00000237094	RP4-669L17.10	317720	453948	1	NA
ENSG00000250575	RP4-669L17.8	326096	328112	1	NA
ENSG00000230021	RP5-857K21.4	536816	659930	1	101928626
ENSG00000225972	MTND1P23	564442	564813	1	NA
ENSG00000225630	MTND2P28	565020	566063	1	NA
ENSG00000237973	hsa-mir-6723	566454	567996	1	NA
ENSG00000229344	RP5-857K21.7	568137	568818	1	NA
ENSG00000229376	CICP3	657472	660283	1	NA
ENSG00000224956	RP11-206L10.1	661611	663527	1	NA
ENSG00000235373	RP11-206L10.3	677193	685396	1	NA
ENSG00000228327	RP11-206L10.2	700237	714006	1	NA
ENSG00000237491	RP11-206L10.9	714150	745440	1	NA
ENSG00000177757	FAM87B	752751	755214	1	400728
ENSG00000225880	LINC00115	761586	762902	1	79854
ENSG00000228794	RP11-206L10.11	762988	794826	1	643837
ENSG00000230368	FAM41C	803451	812283	1	284593
ENSG00000272438	RP11-54O7.16	840214	851356	1	NA
ENSG00000223764	RP11-54O7.3	852245	856396	1	100130417
ENSG00000187634	SAMD11	860260	879955	1	148398
ENSG00000188976	NOC2L	879584	894689	1	26155
ENSG00000187961	KLHL17	895967	901095	1	339451
ENSG00000187583	PLEKHN1	901877	911245	1	84069
ENSG00000187642	C1orf170	910579	917497	1	84808
ENSG00000272512	RP11-54O7.17	931346	933431	1	NA
ENSG00000188290	HES4	934342	935552	1	57801
ENSG00000187608	ISG15	948803	949920	1	9636
ENSG00000188157	AGRN	955503	991496	1	375790
ENSG00000242590	RP11-54O7.14	990413	991496	1	NA
ENSG00000217801	RP11-465B22.3	995114	1004735	1	100288175
ENSG00000273443	RP11-54O7.18	997588	998668	1	NA
ENSG00000237330	RNF223	1006346	1009687	1	401934
ENSG00000131591	C1orf159	1017198	1051741	1	54991
ENSG00000223823	RP11-465B22.5	1072397	1079436	1	254099
ENSG00000272141	RP11-465B22.8	1104737	1105723	1	NA
ENSG00000205231	TTLL10-AS1	1108436	1114935	1	100506376
ENSG00000162571	TTLL10	1109264	1133315	1	254173
ENSG00000186891	TNFRSF18	1138888	1142071	1	8784
ENSG00000186827	TNFRSF4	1146706	1149518	1	7293
ENSG00000078808	SDF4	1152288	1167411	1	51150
ENSG00000176022	B3GALT6	1167629	1170421	1	126792
ENSG00000184163	FAM132A	1177826	1182102	1	388581
ENSG00000260179	RP5-902P8.12	1185157	1186714	1	NA
ENSG00000160087	UBE2J2	1189289	1209265	1	118424
ENSG00000230415	RP5-902P8.10	1210603	1215800	1	NA
ENSG00000162572	SCNN1D	1215816	1227409	1	6339
ENSG00000131584	ACAP3	1227756	1244989	1	116983
ENSG00000169972	PUSL1	1243947	1247057	1	126789
ENSG00000127054	CPSF3L	1246965	1260071	1	54973
ENSG00000240731	RP5-890O3.9	1252961	1254069	1	NA
ENSG00000224051	GLTPD1	1260136	1264277	1	80772
ENSG00000169962	TAS1R3	1266694	1270686	1	83756
ENSG00000107404	DVL1	1270656	1284730	1	1855
ENSG00000162576	MXRA8	1288069	1297157	1	54587
ENSG00000175756	AURKAIP1	1309110	1310875	1	54998
ENSG00000221978	CCNL2	1321091	1334708	1	81669
ENSG00000224870	RP4-758J18.2	1334902	1337426	1	148413
ENSG00000242485	MRPL20	1337288	1342693	1	55052
ENSG00000264293	RN7SL657P	1340841	1341132	1	NA
ENSG00000272455	RP4-758J18.13	1344476	1345998	1	NA
ENSG00000235098	ANKRD65	1353800	1357149	1	441869
ENSG00000225905	RP4-758J18.7	1355625	1358071	1	NA
ENSG00000205116	TMEM88B	1361508	1363167	1	643965
ENSG00000225285	RP4-758J18.10	1365919	1369953	1	NA
ENSG00000179403	VWA1	1370241	1378262	1	64856
ENSG00000215915	ATAD3C	1385069	1405538	1	219293
ENSG00000160072	ATAD3B	1407143	1433228	1	83858
ENSG00000197785	ATAD3A	1447531	1470067	1	55210
ENSG00000205090	TMEM240	1470554	1475833	1	339453
ENSG00000160075	SSU72	1477053	1510249	1	29101
ENSG00000215791	AL645728.2	1497726	1499904	1	NA
ENSG00000215014	AL645728.1	1510355	1511373	1	NA
ENSG00000228594	C1orf233	1533392	1535476	1	643988
ENSG00000272106	RP11-345P4.9	1549138	1551175	1	NA
ENSG00000197530	MIB2	1550795	1565990	1	142678
ENSG00000189409	MMP23B	1567474	1570639	1	8510
ENSG00000248333	CDK11B	1570603	1590473	1	984
ENSG00000272004	RP11-345P4.10	1590786	1594063	1	NA
ENSG00000189339	SLC35E2B	1592939	1624167	1	728661
ENSG00000269227	RP11-345P4.6	1604714	1605836	1	NA
ENSG00000215914	MMP23A	1631369	1633249	1	8511
ENSG00000008128	CDK11A	1634169	1655766	1	728642
ENSG00000268575	RP1-283E3.8	1634175	1669127	1	NA
ENSG00000227775	RP1-283E3.4	1655951	1668690	1	NA
ENSG00000215790	SLC35E2	1656277	1677431	1	9906
ENSG00000008130	NADK	1682671	1711896	1	65220
ENSG00000078369	GNB1	1716729	1822495	1	2782
ENSG00000231050	RP1-140A9.1	1822910	1824097	1	105378949
ENSG00000169885	CALML6	1846266	1848735	1	163688
ENSG00000178821	TMEM52	1849029	1850712	1	339456
ENSG00000142609	C1orf222	1853396	1935276	1	85452
ENSG00000233542	RP11-547D24.1	1944652	1946969	1	NA
ENSG00000187730	GABRD	1950780	1962192	1	2563
ENSG00000226969	RP11-547D24.3	1980642	1981509	1	105378591
ENSG00000067606	PRKCZ	1981909	2116834	1	5590
ENSG00000271806	RP5-892K4.1	2072523	2076718	1	NA
ENSG00000182873	RP11-181G12.2	2113233	2115828	1	100506504
ENSG00000162585	C1orf86	2115903	2144159	1	199990
ENSG00000269554	AL590822.2	2121237	2123179	1	NA
ENSG00000157933	SKI	2160134	2241558	1	6497
ENSG00000116151	MORN1	2252692	2323146	1	79906
ENSG00000272161	RP4-713A8.1	2257640	2258132	1	NA
ENSG00000269753	AL589739.1	2258581	2259042	1	NA
ENSG00000272420	RP4-740C4.7	2294500	2295067	1	NA
ENSG00000271847	RP4-740C4.8	2309056	2309799	1	NA
ENSG00000178642	AL513477.1	2316811	2319922	1	NA
ENSG00000157916	RER1	2323267	2336883	1	11079
ENSG00000157911	PEX10	2336236	2345236	1	5192
ENSG00000149527	PLCH2	2357419	2436969	1	9651
ENSG00000224387	RP3-395M20.2	2423739	2424697	1	NA
ENSG00000229393	RP3-395M20.3	2424876	2425918	1	NA
ENSG00000157881	PANK4	2439972	2458039	1	55229
ENSG00000197921	HES5	2460184	2461684	1	388585
ENSG00000272449	RP3-395M20.12	2477904	2478899	1	NA
ENSG00000238164	RP3-395M20.8	2481359	2488470	1	115110
ENSG00000157873	TNFRSF14	2487078	2496821	1	8764
ENSG00000225931	RP3-395M20.7	2497849	2501327	1	NA
ENSG00000228037	RP3-395M20.9	2512999	2515972	1	100996583
ENSG00000157870	FAM213B	2517930	2522908	1	127281
ENSG00000142606	MMEL1	2522078	2564481	1	79258
ENSG00000237058	RP13-436F16.1	2564007	2568059	1	NA
ENSG00000215912	TTC34	2567415	2718286	1	100287898
ENSG00000169717	ACTRT2	2938046	2939465	1	140625
ENSG00000177133	LINC00982	2976179	2985001	1	440556
ENSG00000142611	PRDM16	2985732	3355185	1	63976
ENSG00000226286	RP1-163G9.2	3049491	3050273	1	NA
ENSG00000272235	RP11-22L13.1	3223200	3226660	1	NA
ENSG00000130762	ARHGEF16	3370990	3397677	1	27237
ENSG00000272088	RP11-168F9.2	3403810	3404191	1	NA
ENSG00000162591	MEGF6	3406484	3528059	1	1953
ENSG00000238260	RP11-46F15.2	3539754	3541307	1	NA
ENSG00000158109	TPRG1L	3541566	3546691	1	127262
ENSG00000116213	WRAP73	3547331	3569325	1	49856
ENSG00000078900	TP73	3569084	3652765	1	7161
ENSG00000227372	TP73-AS1	3652548	3663900	1	57212
ENSG00000162592	CCDC27	3668962	3688209	1	148870
ENSG00000235169	SMIM1	3689352	3692546	1	388588
ENSG00000130764	LRRC47	3696784	3713068	1	57470
ENSG00000272153	RP1-286D6.5	3701572	3702102	1	NA
ENSG00000116198	CEP104	3728645	3773778	1	9731
ENSG00000169598	DFFB	3773845	3801993	1	1677
ENSG00000198912	C1orf174	3805689	3816857	1	339448
ENSG00000236423	RP13-15E13.1	3816936	3833789	1	100133612
ENSG00000233304	RP13-614K11.1	4000673	4015322	1	728716
ENSG00000226374	RP13-614K11.2	4007209	4009040	1	105376672
ENSG00000235054	RP5-1166F10.1	4472111	4484747	1	284661
